Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;Dato;Fra tidspunkt;Til tidspunkt;Felt;Trafikkmengde;Dekningsgrad (%);Antall timer total;Antall timer inkludert;Antall timer ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T17:00+01:00;2022-03-08T18:00+01:00;08.03.2022;17:00;18:00;2;426;100;1;1;0;0;100;405;21;4;3;12;2;2;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T17:00+01:00;2022-03-08T18:00+01:00;08.03.2022;17:00;18:00;Totalt i retning Kvaløya;543;100;1;1;0;0;100;521;22;6;7;9;0;0;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T17:00+01:00;2022-03-08T18:00+01:00;08.03.2022;17:00;18:00;Totalt i retning Tromsø;426;100;1;1;0;0;100;405;21;4;3;12;2;2;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T17:00+01:00;2022-03-08T18:00+01:00;08.03.2022;17:00;18:00;Totalt;969;100;1;1;0;0;100;926;43;10;10;21;2;2;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T18:00+01:00;2022-03-08T19:00+01:00;08.03.2022;18:00;19:00;1;474;100;1;1;0;0;100;455;19;2;6;10;1;1;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T18:00+01:00;2022-03-08T19:00+01:00;08.03.2022;18:00;19:00;2;463;100;1;1;0;0;100;447;16;4;4;7;1;1;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T18:00+01:00;2022-03-08T19:00+01:00;08.03.2022;18:00;19:00;Totalt i retning Kvaløya;474;100;1;1;0;0;100;455;19;2;6;10;1;1;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T18:00+01:00;2022-03-08T19:00+01:00;08.03.2022;18:00;19:00;Totalt i retning Tromsø;463;100;1;1;0;0;100;447;16;4;4;7;1;1;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T18:00+01:00;2022-03-08T19:00+01:00;08.03.2022;18:00;19:00;Totalt;937;100;1;1;0;0;100;902;35;6;10;17;2;2;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T19:00+01:00;2022-03-08T20:00+01:00;08.03.2022;19:00;20:00;1;481;100;1;1;0;0;100;467;14;2;4;7;1;1;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T19:00+01:00;2022-03-08T20:00+01:00;08.03.2022;19:00;20:00;2;347;100;1;1;0;0;100;333;14;3;3;8;0;0;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T19:00+01:00;2022-03-08T20:00+01:00;08.03.2022;19:00;20:00;Totalt i retning Kvaløya;481;100;1;1;0;0;100;467;14;2;4;7;1;1;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T19:00+01:00;2022-03-08T20:00+01:00;08.03.2022;19:00;20:00;Totalt i retning Tromsø;347;100;1;1;0;0;100;333;14;3;3;8;0;0;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T19:00+01:00;2022-03-08T20:00+01:00;08.03.2022;19:00;20:00;Totalt;828;100;1;1;0;0;100;800;28;5;7;15;1;1;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T20:00+01:00;2022-03-08T21:00+01:00;08.03.2022;20:00;21:00;1;412;100;1;1;0;0;100;400;12;4;1;7;0;0;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T20:00+01:00;2022-03-08T21:00+01:00;08.03.2022;20:00;21:00;2;295;100;1;1;0;0;100;283;12;2;2;6;2;2;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T20:00+01:00;2022-03-08T21:00+01:00;08.03.2022;20:00;21:00;Totalt i retning Kvaløya;412;100;1;1;0;0;100;400;12;4;1;7;0;0;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T20:00+01:00;2022-03-08T21:00+01:00;08.03.2022;20:00;21:00;Totalt i retning Tromsø;295;100;1;1;0;0;100;283;12;2;2;6;2;2;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T20:00+01:00;2022-03-08T21:00+01:00;08.03.2022;20:00;21:00;Totalt;707;100;1;1;0;0;100;683;24;6;3;13;2;2;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T21:00+01:00;2022-03-08T22:00+01:00;08.03.2022;21:00;22:00;1;329;100;1;1;0;0;100;318;11;3;1;6;1;1;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T21:00+01:00;2022-03-08T22:00+01:00;08.03.2022;21:00;22:00;2;217;100;1;1;0;0;100;209;8;1;2;5;0;0;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T21:00+01:00;2022-03-08T22:00+01:00;08.03.2022;21:00;22:00;Totalt i retning Kvaløya;329;100;1;1;0;0;100;318;11;3;1;6;1;1;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T21:00+01:00;2022-03-08T22:00+01:00;08.03.2022;21:00;22:00;Totalt i retning Tromsø;217;100;1;1;0;0;100;209;8;1;2;5;0;0;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T21:00+01:00;2022-03-08T22:00+01:00;08.03.2022;21:00;22:00;Totalt;546;100;1;1;0;0;100;527;19;4;3;11;1;1;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T22:00+01:00;2022-03-08T23:00+01:00;08.03.2022;22:00;23:00;1;234;100;1;1;0;0;100;226;8;3;1;4;0;0;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T22:00+01:00;2022-03-08T23:00+01:00;08.03.2022;22:00;23:00;2;144;100;1;1;0;0;100;135;9;0;2;6;1;1;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T22:00+01:00;2022-03-08T23:00+01:00;08.03.2022;22:00;23:00;Totalt i retning Kvaløya;234;100;1;1;0;0;100;226;8;3;1;4;0;0;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T22:00+01:00;2022-03-08T23:00+01:00;08.03.2022;22:00;23:00;Totalt i retning Tromsø;144;100;1;1;0;0;100;135;9;0;2;6;1;1;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T22:00+01:00;2022-03-08T23:00+01:00;08.03.2022;22:00;23:00;Totalt;378;100;1;1;0;0;100;361;17;3;3;10;1;1;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T23:00+01:00;2022-03-09T00:00+01:00;08.03.2022;23:00;00:00;1;103;100;1;1;0;0;100;99;4;0;0;4;0;0;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T23:00+01:00;2022-03-09T00:00+01:00;08.03.2022;23:00;00:00;2;75;100;1;1;0;0;100;69;6;1;0;4;1;1;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T23:00+01:00;2022-03-09T00:00+01:00;08.03.2022;23:00;00:00;Totalt i retning Kvaløya;103;100;1;1;0;0;100;99;4;0;0;4;0;0;0
